"week","none","d0_d4","d1_d4","d2_d4","d3_d4","d4","dsci"
2020-04-28,0,100,100,71.39,62.86,0,334
2020-04-21,0,100,91,71.39,62.86,0,325
2020-04-14,0,100,91,71.39,0,0,262
2020-04-07,0,100,91,32.29,0,0,223
2020-03-31,0,100,91,32.29,0,0,223
2020-03-24,0,100,91,32.29,0,0,223
2020-03-17,0,100,88.89,31.42,0,0,220
2020-03-10,0,100,88.89,0,0,0,189
2020-03-03,0,100,39.27,0,0,0,139
2020-02-25,0,100,24.13,0,0,0,124
2020-02-18,22.91,77.09,0,0,0,0,77
2020-02-11,62.49,37.51,0,0,0,0,38
2020-02-04,62.49,37.51,0,0,0,0,38
2020-01-28,62.49,37.51,0,0,0,0,38
2020-01-21,62.49,37.51,0,0,0,0,38
2020-01-14,62.49,37.51,0,0,0,0,38
2020-01-07,63.05,36.95,0,0,0,0,37
2019-12-31,63.05,36.95,0,0,0,0,37
2019-12-24,63.05,36.95,0,0,0,0,37
2019-12-17,63.05,36.95,0,0,0,0,37
2019-12-10,63.05,36.95,0,0,0,0,37
2019-12-03,28.69,71.31,0,0,0,0,71
2019-11-26,28.14,71.86,0,0,0,0,72
2019-11-19,100,0,0,0,0,0,0
2019-11-12,100,0,0,0,0,0,0
2019-11-05,100,0,0,0,0,0,0
2019-10-29,100,0,0,0,0,0,0
2019-10-22,100,0,0,0,0,0,0
2019-10-15,100,0,0,0,0,0,0
2019-10-08,100,0,0,0,0,0,0
2019-10-01,100,0,0,0,0,0,0
2019-09-24,100,0,0,0,0,0,0
2019-09-17,97.19,2.81,0,0,0,0,3
2019-09-10,96.55,3.45,0,0,0,0,3
2019-09-03,96.55,3.45,0,0,0,0,3
2019-08-27,96.55,3.45,0,0,0,0,3
2019-08-20,96.55,3.45,0,0,0,0,3
2019-08-13,96.55,3.45,0,0,0,0,3
2019-08-06,96.55,3.45,0,0,0,0,3
2019-07-30,100,0,0,0,0,0,0
2019-07-23,100,0,0,0,0,0,0
2019-07-16,100,0,0,0,0,0,0
2019-07-09,100,0,0,0,0,0,0
2019-07-02,100,0,0,0,0,0,0
2019-06-25,100,0,0,0,0,0,0
2019-06-18,100,0,0,0,0,0,0
2019-06-11,100,0,0,0,0,0,0
2019-06-04,100,0,0,0,0,0,0
2019-05-28,100,0,0,0,0,0,0
2019-05-21,100,0,0,0,0,0,0
2019-05-14,100,0,0,0,0,0,0
2019-05-07,100,0,0,0,0,0,0
2019-04-30,100,0,0,0,0,0,0
2019-04-23,100,0,0,0,0,0,0
2019-04-16,100,0,0,0,0,0,0
